Image_Name	Incidence_Angle	
M109215691LE	27.56
M109215691RE	27.56
M111578606RE	37.97
M112639452LE	62.52
M112639452RE	62.59
M113934743LE	59.46
M113934743RE	59.53
M115008450LE	78.82
M115008450RE	78.90
M117467833RE	82.82
M119822622LE	57.18
M119829425LE	58.21
M120920427LE	67.73
M120920427RE	67.79
M122184104RE	35.07
M126901141RE	37.12
M127998835LE	67.33
M127998835RE	67.39
M138602853LE	58.48
M138602853RE	58.51
M146959973LE	77.24
M146959973RE	77.31
M161000252LE	72.68
M161000252RE	72.77
M162284113RE	76.48
M170538271RE	30.21
