Image_Name	Incidence_Angle	
M109215691LE	27.50
M109215691RE	27.50
M111578606RE	38.00
M112639452LE	62.50
M112639452RE	62.50
M113934743LE	59.50
M113934743RE	59.50
M115008450LE	79.00
M115008450RE	79.00
M117467833RE	83.00
M119822622LE	57.00
M119829425LE	58.00
M120920427LE	68.00
M120920427RE	68.00
M122184104RE	35.00
M126901141RE	37.00
M127998835LE	67.50
M127998835RE	67.50
M138602853LE	58.50
M138602853RE	58.50
M146959973LE	77.50
M146959973RE	77.50
M161000252LE	72.50
M161000252RE	72.50
M162284113RE	76.50
M170538271RE	30.00
